,House Name,House Price,Posted Date,About House,Map Address
0,"LLAMA HOY ! $1,000 DE DESCUENTO!","$1,700",2022-08-06 10:39,/ 2br - 1069ft2 -,9501 W Sahara Ave
1,"Office space, Virtual, Day offices available",$500,2022-08-08 12:47,,
2,"$1,410 / 2br - $1,410 / 2br - 890ft2 - ***Two Bedroom One Bath Availab","$1,410",2022-07-16 09:16,/ 2br - 860ft2 -,901 Brush St near Charleston and Decatur
3,"Curved Shower Rods, Wifi Lounge, Gated Access","$1,535",2022-07-31 16:49,/ 2br - 1038ft2 -,9620 West Russell Road
4,"$1,410 / 2br - 890ft2 - $1,410 /2br -  West Edge Apartments","$1,410",2022-08-06 10:34,/ 2br - 890ft2 -,901 Brush St near Charleston and Decatur
5,"$1,400 / 2br -860 Love where you live at West Edge!!","$1,400",2022-08-06 10:40,/ 2br - 860ft2 -,901 Brush St near Charleston and Decatur
6,$650 Spring Valley,$650,2022-08-06 02:58,,
7,Welcome Home! Come and See our Beautiful Community!! CALL US NOW!!,"$1,280",2022-08-06 12:09,/ 2br - 1010ft2 -,939 E Flamingo Rd
8,"2B/2B, Oversized closets, Onsite playground","$1,529",2022-08-08 12:43,/ 2br - 973ft2 -,501 E Lake Mead Pkwy
9,"Unfurnished apartments, Sparkling swimming pool, Easy freeway access",$301,2022-07-13 10:50,,100 South Martin Luther King Boulevard
10,"$1,410 / 2br - 890ft2 - $1,410 / 2br - $1,410 / 2br - 890ft2 - Ready f","$1,410",2022-08-06 10:43,/ 2br - 890ft2 -,901 Brush St near Charleston and Decatur
11,"$1,500 / 2br - 960ft2 - $1,160 / 1br - DEJE DE BUSCAR APLIQUE HOY WEST","$1,160",2022-08-06 11:10,/ 2br - 960ft2 -,901 Brush St near Charleston and Decatur
12,large 2 bed 2 bath Last one!,"$1,614",2022-08-08 12:42,/ 2br - 1104ft2 -,5060 W Hacienda Ave near Decatur
13,una habitación un baño disponible AHORA!,"$1,150",2022-07-28 13:08,/ 1br - 680ft2 -,901 Brush Street near Charleston and Decatur
14,"View, Playground, Fitness Center",$920,2022-08-08 12:41,/ 1br - 681ft2 -,3665 S. Needles Hwy
15,Furnished Room for Rent $160 Weekly....,,2022-08-08 11:45,,
16,"Solid Surface Countertops, Covered Parking, Vertical Blinds","$1,900",2022-08-08 12:41,/ 2br - 1123ft2 -,7017 South Buffalo Drive near West Badura Avenue
17,GORGEOUS 2BDRM 2BATH IN A BEAUTIFUL LOCATION NEAR DOWNTOWN SUMMERLIN!,"$2,050",2022-07-16 12:06,/ 2br - 1106ft2 -,W Sahara Ave near S Pavilion Center Dr
18,GORGEOUS 2BDRM 2BATH IN A BEAUTIFUL LOCATION NEAR DOWNTOWN SUMMERLIN!,"$2,050",2022-07-16 12:18,/ 2br - 1106ft2 -,W Sahara Ave near S Pavilion Center Dr
19,Live life at Willowbrook,"$2,075",2022-07-15 12:07,/ 2br - 1106ft2 -,
20,NO RESTRICCIONES !🐶🐱 NO LIMITE DE PESO!,"$1,800",2022-08-06 10:25,/ 2br - 1134ft2 -,9501 W Sahara Ave
21,MOST BEAUTIFUL LOCATION TO LIVE IN! MOVE-IN SPECIALS OFFERED!,"$2,075",2022-07-16 12:54,/ 2br - 1106ft2 -,W Sahara Ave near S Pavilion Center Dr
22,NO RESTRICCIONES !🐶🐱 NO LIMITE DE PESO!,"$1,700",2022-08-06 11:06,/ 2br - 1069ft2 -,9501 W Sahara Ave
23,Move in to Luxury Living Today,"$2,075",2022-07-14 12:15,/ 2br - 1106ft2 -,
24,"Playground, Rentable Storage Units, Pool view","$1,416",2022-07-20 15:03,/ 1br - 783ft2 -,1050 Whitney Ranch Drive
25,"Fully Furnished, Handicap Accessible, Close to The Strip, Pool",$371,2022-07-09 13:33,,220 Convention Center Drive
26,Looking to buy in Summerlin,,2022-07-24 13:33,,
27,REALTOR for:,,2022-07-23 09:41,,
28,"Lighted Ceiling Fans, Dog Park, Garages Available","$1,915",2022-07-14 09:12,/ 2br - 1121ft2 -,325 North Gibson Road
29,"1bd 1ba, Gas log fireplace, in Henderson NV","$1,306",2022-08-08 12:35,/ 1br - 847ft2 -,6765 Tulip Falls Dr
30,Vida Las Vegas Apartment Homes,"$1,474",2022-08-04 15:51,/ 1br - 621ft2 -,5060 w Hacienda near Hacienda and Decatur
